exercise_id,question_guid,rating,topic,difficulty,average_result,questions_in_exercise,exercise_id_int,answer_count
vs20.kv.i3.n36,52c3c407992f265b140f0970,7,13,4,0.850340136054,5,10776,147
vs20.kv.i3.n36,f4ef49fc3c1bd4d3c1e32563,7,13,4,0.928571428571,5,10776,140
ovs16.r3.i3.n06,bc38146afb1a9c1efe97cef7,35,4,3,0.965909090909,1,1763,165
vs20.kv.i4.n99a,fea07093f1986c636eb5e891,11,6,3,0.7609375,1,8566,160
ovs19.r2.i2.n03,edb073c89906b0cc6c02645a,29,4,1,0.979668674699,1,3072,166
vs20.kv.i4.n174,d853c977981f6254c06f1aa4,7,8,3,0.968553459119,2,9703,159
vs20.kv.i4.n174,2a0864ed249cf000715ae31a,7,8,3,0.897435897436,2,9703,156
ovs14.r1.i2.n02,67d551862d998bcddd4e9760,78,3,3,0.8375,1,2020,160
vs20.kv.i4.n167,a57e829dc9313221f51503d8,9,8,3,0.953947368421,2,9710,152
vs20.kv.i4.n167,017bed240b2e15dbe3c53e2f,9,8,3,0.960784313725,2,9710,153
vs20.kv.i3.n05,206be694151490069fd91de3,36,4,2,0.965909090909,1,8276,165
vs20.kv.i3.n07,51e1d4fccb163e7a45722fa6,207,4,3,0.896341463415,1,8496,164
vs20.kv.i4.n163,f257333c927a527b0a4ca973,103,5,3,0.8,5,9682,10
vs20.kv.i4.n163,82c966e89a97f453f53b3f0b,103,5,3,0.789473684211,5,9682,19
vs20.kv.i4.n163,8469a22ca2d1bd228a324138,103,5,3,0.0666666666667,5,9682,15
vs20.kv.i4.n163,cf144b827aefe3868c2d8cd7,103,5,3,0.266666666667,5,9682,15
vs20.kv.i4.n163,5a0450c0ff7872952d855ad3,103,5,3,0.214285714286,5,9682,14
vs20.kv.i4.n162,f5fcf485fa915afe14cd6aa7,5,5,2,0.948717948718,1,9683,156
vs20.kv.i3.n02,245263207b0fe40ff74995c4,47,4,2,0.94578313253,1,8279,166
vs20.kv.i4.n160,0b777d71546cde8693a00675,12,5,4,0.877697841727,1,9685,139
vis19.r2.i2.n03,ef67bcf05321494a379b5689,200,4,2,-1.0,1,7152,1
vs20.kv.i4.n173,c9f1ea22e033eea4c2de90a3,0,8,3,0.993710691824,1,9704,159
vs20.kv.i4.n169,25f2d612e7cc8b2689322ad2,13,8,3,0.78064516129,1,9708,155
vs20.kv.i4.n168,127f936270dd026c260422b0,6,8,3,0.931677018634,2,9709,161
vs20.kv.i4.n168,9774a9397ccbcc6e72bce697,6,8,3,0.9,2,9709,160
ovs16.r1.i2.n02,81051be9fb6592c7a5775f13,128,3,6,0.647798742138,1,1997,159
vs20.kv.i4.n108a,286715bbba86b13ae2f2ba92,4,6,3,0.891826923077,1,8565,156
vs20.kv.i3.n25a,80392eb1e567bdfad4698ac0,14,7,3,0.702830188679,1,9645,159
ovs20.r1.i4.n05,dbf1260ce7fa9ca1ee760335,0,10,2,1.0,1,8172,153
vs20.kv.i2.n16a,679720bfc500ef010a400af9,123,7,3,-0.751633986928,1,9643,153
vs20.kv.i3.n13,b308b875a406793abbf1e772,200,4,3,1.0,1,8288,1
vs20.kv.i4.n175,6b7c65079be945d6c2fd424c,8,8,4,0.897196261682,1,9702,107
vs20.kv.i3.n10,769dda26e5a8998f3ec43919,8,4,3,0.942307692308,1,8281,156
vs20.kv.i4.n170,a1d55045edb89a2093445492,0,8,4,0.974842767296,1,9707,159
vs20.kv.i4.n171,026f39fdeb2361bdcb7d4aff,100,8,2,0.14375,1,9706,160
vs20.kv.i4.n172,d9a711ed3022c8918c074848,99,8,3,0.160256410256,1,9705,156
vs20.kv.i3.n14,aaf3fb10cd7eed2248bde23b,7,4,4,0.775,1,8508,165
vs20.kv.i4.n78,079dbfe5b38681baeb990e2b,9,4,3,0.860759493671,1,8512,158
vs20.kv.i4.n79,ec5102d2fa059ac8280ec613,8,4,4,0.876623376623,1,8511,154
vs20.kv.i4.n77,086d64ee87223df840d2c286,2,4,3,0.893081761006,1,8513,159
vs20.kv.i3.n04,f739680dfe371b5011036129,43,4,2,0.952272727273,1,8277,165
vs20.kv.i3.n24a,b1e79c6a9236896592e7c102,197,7,3,-0.117647058824,1,9646,153
vs20.kv.i4.n164,67db2175d9b2a755f836b438,4,5,3,0.785234899329,1,9681,149
vis15.r2.i2.n02,7f32657a12a874c9d1cc8f02,47,3,3,0.9375,1,2118,160
vs20.kv.i2.n15a,986bd2d53c0dea9730bce62c,5,7,3,0.774834437086,1,9644,151
vs20.kv.i3.n13a,199eb610218c5908cdd929bf,3,4,3,0.761363636364,1,8524,165
vs20.kv.i4.n161,7368732772a1a399aac6eeca,7,5,3,0.897435897436,1,9684,156
vs20.kv.i4.n61,deec13b6479184030c802c13,0,3,4,0.974921630094,1,8243,319
vs20.kv.i4.n60,eba93413310ce3b9f71ab67b,40,3,4,0.96875,1,8224,160
ovs19.r1.i3.n03a,3f0afbc2b81ee5873c887df2,132,3,5,0.782051282051,1,8246,156
vs20.kv.i4.n156,f4c43d712a60542da67d8753,3,5,3,0.967741935484,1,9689,155
vs20.kv.i4.n158,db750dabf2cae588e2e54b97,8,5,3,0.841059602649,1,9687,151
vs20.kv.i4.n159,f88ab6b16c0a8c7b5a09c043,187,5,3,0.0189873417722,1,9686,158
vs20.kv.i4.n195,da591463208d48daa9f2da9e,1,11,2,0.941176470588,2,9732,153
vs20.kv.i4.n195,83f620e6634247006522ae8e,1,11,2,0.953947368421,2,9732,152
vs20.kv.i4.n157,06fe3a75a3f80fddfed10355,5,5,3,0.967948717949,1,9688,156
vs20.kv.i4.n154,30c7a9475a315e83466e2f44,6,5,3,0.9,1,9691,150
vs20.kv.i4.n155,ac4f9ce07a5ab6be1b5f9848,3,5,3,0.948387096774,1,9690,155
vs20.kv.i4.n152,734cccaf25d486b74c7810ad,178,5,3,-0.936708860759,1,9693,158
vs20.kv.i4.n153,2982cbd1c33b8333c6b027c1,5,5,3,0.942675159236,1,9692,157
vs20.kv.i4.n150,3ecb5a6c6b84132cfa0a77f6,6,5,2,0.903846153846,1,9695,156
vs20.kv.i4.n151,4a0ceab2a951c42479d80687,2,5,2,0.885350318471,1,9694,157
vs20.kv.i4.n109a,0dd7648b745abb4188b91b53,15,6,3,0.779272151899,1,8564,158
vis14.r1.i4.n03c,e7a93417aa02bc69ebfc73f0,99,4,3,0.865030674847,1,8292,163
ovs18.r3.i3.n02a,29467b1c50d0c0e15c6b4f48,23,3,3,1.0,1,8241,161
ovs14.r1.i2.n01a,67321cde167993232217dded,27,3,4,1.0,1,8247,159
vis16.r2.i2.n03a,483f58597e191056cf1785d5,79,4,2,0.830303030303,1,8295,165
vs20.kv.i4.n99,4ad48e44e9773db26d5db15f,5,6,3,0.935251798561,1,8563,139
vs20.kv.i2.n18,56596b92b20815cbfe6e58e0,4,7,3,0.937106918239,1,9638,159
vs20.kv.i3.n40,55dc09e18f66248146607a89,0,12,2,0.955,1,10772,150
vs20.kv.i3.n41,08b43c4f168869faf39fa5de,0,12,2,0.916385135135,1,10771,148
vs20.kv.i3.n42,8259d31505dc0672378a8860,4,13,2,0.991554054054,1,10770,148
vs20.kv.i3.n43,08c70a1b9be0d1487d214b68,0,13,3,0.958609271523,1,10780,151
vs20.kv.i3.n44,9785953f40576039d09558f0,169,13,3,-0.190476190476,1,10779,147
vs20.kv.i2.n19,e413538735b967b106e3a23d,19,11,3,0.0980392156863,1,9735,153
vs20.kv.i4.n193,c0527cbd93f8a1de897d847f,2,11,3,1.0,5,9734,153
vs20.kv.i4.n193,4f7241388f3fdb23c0d6bd4b,2,11,3,0.97385620915,5,9734,153
vs20.kv.i4.n193,192c648f4666692f32294edb,2,11,3,0.993464052288,5,9734,153
vs20.kv.i4.n193,58e37ce9361edb6c53ca0976,2,11,3,0.967320261438,5,9734,153
vs20.kv.i4.n193,693f567ab8eee0d39fcc4ed3,2,11,3,0.980263157895,5,9734,152
vs20.kv.i4.n190,42f09cfe8dae15d520aa5299,104,9,4,0.138364779874,1,9721,159
